iter	Passed	Remaining
0	0	79
1	1	69
2	2	65
3	2	61
4	3	61
5	3	60
6	4	59
7	5	59
8	5	59
9	6	59
10	7	58
11	7	58
12	8	59
13	9	58
14	10	58
15	11	58
16	12	59
17	12	58
18	13	57
19	14	56
20	14	55
21	15	54
22	16	53
23	16	52
24	17	51
25	17	50
26	18	49
27	19	48
28	19	48
29	20	47
30	20	46
31	21	45
32	22	44
33	22	43
34	23	43
35	24	42
36	24	42
37	25	41
38	25	40
39	26	39
40	27	38
41	27	37
42	27	36
43	28	36
44	28	35
45	29	34
46	30	34
47	31	33
48	32	33
49	32	32
50	33	32
51	34	31
52	35	31
53	35	30
54	36	29
55	37	29
56	37	28
57	38	27
58	39	27
59	40	26
60	40	26
61	41	25
62	42	24
63	43	24
64	44	23
65	44	23
66	45	22
67	46	21
68	47	21
69	48	20
70	48	19
71	49	19
72	49	18
73	50	17
74	50	16
75	51	16
76	51	15
77	52	14
78	53	14
79	53	13
80	54	12
81	55	12
82	56	11
83	57	10
84	57	10
85	58	9
86	58	8
87	59	8
88	59	7
89	60	6
90	60	6
91	61	5
92	62	4
93	63	4
94	63	3
95	64	2
96	65	2
97	65	1
98	66	0
99	66	0
