iter	Passed	Remaining
0	144	144047
1	144	72338
2	145	48382
3	147	36732
4	149	29787
5	151	25089
6	152	21620
7	153	19053
8	155	17072
9	156	15522
10	158	14289
11	160	13236
12	162	12334
13	164	11554
14	165	10855
15	166	10231
16	167	9668
17	167	9158
18	168	8705
19	169	8302
20	170	7938
21	171	7627
22	172	7316
23	173	7057
24	174	6810
25	175	6587
26	176	6372
27	177	6173
28	178	5977
29	179	5789
30	179	5617
31	181	5479
32	181	5323
33	182	5176
34	182	5039
35	183	4910
36	183	4786
37	184	4670
38	185	4559
39	185	4454
40	186	4354
41	186	4258
42	188	4199
43	189	4121
44	190	4049
45	191	3975
46	192	3899
47	192	3826
48	193	3757
49	194	3689
50	194	3626
51	195	3563
52	196	3512
53	198	3472
54	198	3418
55	199	3365
56	200	3316
57	201	3270
58	202	3234
59	203	3185
60	204	3141
61	204	3097
62	205	3058
63	206	3018
64	207	2978
65	207	2938
66	208	2898
67	208	2860
68	209	2823
69	209	2787
70	210	2753
71	210	2719
72	212	2693
73	212	2660
74	213	2629
75	213	2598
76	214	2567
77	214	2538
78	215	2510
79	215	2481
80	216	2453
81	216	2426
82	217	2397
83	217	2372
84	218	2347
85	218	2327
86	219	2305
87	220	2285
88	221	2265
89	221	2244
90	222	2223
91	223	2201
92	223	2181
93	224	2161
94	224	2141
95	225	2122
96	225	2103
97	227	2090
98	227	2074
99	228	2056
100	229	2038
101	229	2021
102	230	2003
103	230	1987
104	231	1970
105	231	1954
106	232	1939
107	233	1924
108	233	1910
109	234	1899
110	235	1887
111	236	1873
112	236	1858
113	237	1845
114	238	1834
115	238	1820
116	240	1816
117	241	1805
118	242	1792
119	242	1779
120	243	1766
121	243	1752
122	244	1740
123	244	1727
124	245	1715
125	245	1704
126	246	1692
127	246	1680
128	247	1671
129	247	1659
130	248	1648
131	249	1637
132	249	1628
133	250	1618
134	251	1610
135	251	1600
136	252	1591
137	253	1582
138	253	1573
139	254	1563
140	254	1553
141	255	1542
142	255	1532
143	256	1523
144	256	1514
145	257	1505
146	257	1496
147	258	1487
148	258	1478
149	259	1470
150	260	1462
151	260	1454
152	261	1445
153	261	1437
154	262	1429
155	262	1421
156	263	1413
157	263	1405
158	264	1399
159	265	1395
160	266	1388
161	266	1380
162	267	1372
163	267	1365
164	268	1359
165	269	1352
166	269	1345
167	270	1338
168	270	1331
169	271	1324
170	271	1318
171	272	1311
172	273	1305
173	273	1299
174	274	1292
175	274	1286
176	275	1279
177	275	1273
178	276	1267
179	276	1261
180	277	1255
181	278	1250
182	278	1245
183	279	1240
184	280	1235
185	281	1230
186	281	1225
187	282	1220
188	283	1215
189	283	1209
190	284	1204
191	285	1199
192	285	1193
193	286	1188
194	286	1182
195	287	1177
196	287	1172
197	288	1168
198	288	1163
199	289	1157
200	289	1152
201	290	1147
202	291	1142
203	291	1137
204	292	1132
205	292	1127
206	293	1122
207	294	1119
208	294	1114
209	295	1112
210	296	1109
211	297	1104
212	297	1100
213	298	1096
214	299	1093
215	299	1088
216	300	1084
217	301	1079
218	301	1075
219	302	1070
220	302	1066
221	302	1061
222	303	1057
223	304	1053
224	304	1049
225	305	1044
226	305	1040
227	306	1037
228	306	1033
229	307	1029
230	308	1025
231	308	1021
232	309	1017
233	309	1013
234	310	1010
235	311	1007
236	311	1003
237	312	1000
238	313	996
239	313	994
240	314	991
241	315	987
242	315	984
243	316	980
244	317	976
245	317	973
246	318	970
247	318	967
248	319	963
249	320	960
250	320	956
251	321	953
252	321	950
253	322	946
254	322	943
255	323	939
256	323	936
257	324	933
258	325	930
259	325	927
260	327	926
261	328	924
262	328	920
263	329	917
264	329	914
265	330	911
266	330	908
267	331	905
268	332	902
269	332	899
270	333	897
271	334	896
272	335	894
273	336	891
274	337	890
275	338	887
276	339	884
277	339	881
278	340	879
279	341	876
280	341	874
281	342	871
282	343	869
283	343	866
284	344	864
285	345	861
286	345	859
287	346	856
288	346	853
